1223	Needs research|Needs implementation|High priority|Issue needs work|List issue|Needs a feature|Core|Enhancement|Needs spec	Override
1222	Needs implementation|List issue|Needs a feature|Enhancement|FSL|Features	Allow override attribute
1221	Needs research|Needs a feature|Enhancement|FSL	Override event
1219	Needs research|Publicity and visibility|Readme|Integrations|Very powerful|Visual improvements|Enhancement|Visualizations	Github blocks
1213	Needs implementation|Tooling|Package managers|Chore|Cleanup|Publicity and visibility|Automation|Integrations|Ease of contribution|Status: Underway|Environments|Dependencies|Enhancement|CI/CD|Workflows	Automatically update jssm-cjs from jssm updates
1212	Needs implementation|Tooling|Package managers|Chore|Cleanup|Publicity and visibility|Automation|Integrations|Ease of contribution|Minifier|Status: Underway|Environments|Build|Dependencies|Enhancement|CI/CD	Automatically update jssm-es6-min from jssm updates
1211	Editors|Needs implementation|Enhancement|API	uses_forced_transitions
1210	Cleanup|Refactor|Technical debt	Pull themes out into module
1207	Cleanup|Refactor|Technical debt|Codegen	Pull compiler out into module
1206	Cleanup|Refactor	Pull arrows out into module
1205	Static analysis|Test suite|Needs tests|FSL	Start states cannot repeat
1204	Static analysis|Test suite|Enhancement|Blocks others	Start states must exist
1203	Static analysis|Bug|Core|Typescript	Start states with invalid states cause machine to begin in inconsistent state
1202	Ease of use|Status: Underway|Core|Enhancement|Features	display_text
1201	Cleanup|Bug|Refactor|Technical debt	uh the grammar probably shouldn't be called jssm-dot anymore 😅
1200	Bug|Dependencies|Bug is upstream	Underlying library `reduce-to-639-1` needs es6 export
1194	Test suite|Bug|Needs tests|Internationalization	Universal character set test - atom labels
1193	Test suite|Bug|Internationalization	Universal character set test - labels
1192	Test suite|Bug|FSL|Internationalization	Universal character set test - actions
1191	Test suite|Bug|Needs tests|Internationalization	Universal character set test - strings
1190	Test suite|Bug|FSL|Internationalization	Universal character set test - atoms
1189	Bug|Types|Typescript|Important for integration|Codegen	Downstream typescript consumption fails: theme getter and setter diverge in type
1188	Cleanup|Good first issue|Low hanging fruit|Documentation and docgen|Refactor|Javascript	Switch report generator `.replaceAll(foo` with `.replace(/foo/g`
1187	Tooling|Test suite|Stochastics|Bug	Stats script is failing because stoch tests were disabled
1186	Ease of use|Low hanging fruit|Documentation and docgen|Enhancement	LOC Shootout should have relative links to the code 
1181	Needs implementation|Tooling|Machine use cases|Functional language|Integrations|Needs tests|Core|Enhancement|Blocks others	Initial post-hooks
1180	Tooling|Machine use cases|Functional language|Integrations|Needs tests|Needs a feature|Core|Enhancement|Blocks others	Final post-hooks
1179	Needs implementation|Tooling|Machine use cases|Functional language|Integrations|Needs tests|Needs a feature|Core|Enhancement|Blocks others	Final hooks
1178	Tooling|Machine use cases|Functional language|Integrations|Needs tests|Needs a feature|Core|Enhancement|Blocks others	Initial hooks
1176	Issue needs work|Uncertain|Needs information	fix domain
1169	Test suite|Bug|Issue needs work|Needs tests|List issue|Internationalization	Universal character set test
1168	High priority|Bug|Very powerful|Visual improvements|Rendering compatibility|Is blocked|Visualizations|Internationalization	Fix higher unicode rendering in viz once and for all
1163	Needs research|Visual improvements|Transcompile targets|Javascript|Question|Internationalization	To get trans-js unicode, is it enough to just entity encode?
1160	Bug|Visual improvements|Status: Underway|Frontend|Visualizations	New style system didn't onboard individual styles
1159	Visual improvements|Refactor|Frontend|CSS|Cosmetic	Move current base stylesheet to theme (also make it less ugly)
1157	Needs implementation|Status: Underway|Core|Enhancement|API	API to check whether a given state is an end state
1156	Needs implementation|Status: Underway|Needs a feature|Enhancement|API	API to check whether a given state is a start state
1143	Use cases|Ease of use|Visual improvements|Status: Underway|Color|Composition|Frontend|Enhancement|Visualizations	Define a theme layer within the style composition function
1142	Use cases|Visual improvements|Status: Underway|Composition|Frontend|Enhancement|Visualizations	Define a graph_explorer base stylesheet
1141	Needs implementation|Use cases|Visual improvements|Status: Underway|Composition|Frontend|Is blocked|Enhancement	Need a per-node style-cooking function
1140	Use cases|Visual improvements|Status: Underway|Is blocked|Enhancement|Visualizations	Expose styling of start / end states
1139	Use cases|Visual improvements|Status: Underway|Frontend|Is blocked|Enhancement|Visualizations	Expose styling of hooked states
1138	Use cases|Visual improvements|Status: Underway|Frontend|Is blocked|Enhancement|Visualizations	Expose styling of current state
1137	Use cases|Visual improvements|Status: Underway|Frontend|Is blocked|Enhancement|Visualizations	Expose styling of terminal states
1136	Use cases|Visual improvements|Status: Underway|Frontend|Is blocked|Enhancement|Visualizations	Expose styling of standard states
1135	Use cases|Visual improvements|Status: Underway|Frontend|Enhancement|Visualizations	Allow styling of standard states
1134	Use cases|Visual improvements|Status: Underway|Frontend|Enhancement|Visualizations	Allow styling of hooked states
1133	Use cases|Visual improvements|Status: Underway|Needs a feature|Enhancement|Visualizations	Allow styling of current state
1132	Use cases|Visual improvements|Status: Underway|Frontend|Enhancement|Visualizations	Allow styling of terminal states
